SubDistrictId,SubDistrictNameTH,SubDistrictNameEN,SubDistrictCamelCase,ZipCode,DistrictId,DistrictNameTH,DistrictNameEN,DistrictNameCamelCase,ProvinceId,ProvinceNameTH,ProvinceNameEN,ProvinceCamelCase
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
210114,มาบตาพุด,Maptaphut,Maptaphut,21150,2101,เมืองระยอง,Mueang Rayong,MueangRayong,21,ระยอง,Rayong,Rayong
210114,มาบตาพุด,Maptaphut,Maptaphut,21150,2101,เมืองระยอง,Mueang Rayong,MueangRayong,21,ระยอง,Rayong,Rayong
210114,มาบตาพุด,Maptaphut,Maptaphut,21150,2101,เมืองระยอง,Mueang Rayong,MueangRayong,21,ระยอง,Rayong,Rayong
210114,มาบตาพุด,Maptaphut,Maptaphut,21150,2101,เมืองระยอง,Mueang Rayong,MueangRayong,21,ระยอง,Rayong,Rayong
860116,หาดทรายรี,Hat Sai Ri,HatSaiRi,86120,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
860706,ด่านสวี,Dan Sawi,DanSawi,86130,8607,สวี,Sawi,Sawi,86,ชุมพร,Chumphon,Chumphon
440103,ท่าตูม,Tha Tum,ThaTum,44000,4401,เมืองมหาสารคาม,Mueang Maha Sarakham,MueangMahaSarakham,44,มหาสารคาม,Maha Sarakham,MahaSarakham
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
200901,สัตหีบ,Sattahip,Sattahip,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
